intersect_smiles,qm9_id,al9_id
O=C1NCC2OCCC12,47107,7126399
CC12CCCC(O)C1C2,96065,114470
CCCn1cncc1C,33167,8042082
C#CC1C2C=CC1C=C2,34760,2476526
CCCC1OCCC1C,121355,5035813
CCCC1CC=CC1C,121019,6806701
CCC1C(=O)COC1C,110023,892694
O=CNCC1OC2CC12,52254,5748181
CC1CC(=O)C(O)C1C,85049,7457873
CC1(c2cc[nH]c2)CC1,26495,993515
C#CCC(CCO)OC,118533,9460064
CC1COC(=O)CC1O,93513,6700379
CC1(NC=O)CC(=O)C1,65683,602663
CN1CCC(O)C1C#N,93880,9900662
CC12COC1C(C#N)C2,72857,248539
C#CC1OC(=O)C2CC12,43593,4458452
C#CC1(C(O)C#N)CC1,56722,5239311
CCN(C)C(=O)N(C)C,100538,8097139
OC1CCCC2CC2C1,96164,7470075
CC1OC2CCC1(C)C2,92371,6525077
CC1CC2C=CC1C2C,91165,6188200
C1CC1OC12CCC1C2,36861,172178
OC1CC12CCCCO2,88209,6255210
C#CC(C#N)(CN)OC,102343,9122376
COC1COCC=C1C,116358,6419353
C1=C2CCC23CC3CC1,39355,800939
CC1C2C=CC1(O)CC2,83350,1469292
O=C1C=CC(O)C12CC2,84298,5481123
C1=CCc2occc2C1,24380,1176191
CC1OC2(CCC2)C1C,89989,5801317
CCC1CN(C)C(=O)N1,112670,3860081
O=C1CC2(CO1)CC2O,87947,4774643
CC1CC=C2C(O)CC21,90444,5970315
CC1OCC(C)(C)CO1,93698,4590397
CCCC(CO)C1CC1,118490,3825539
OCCCCC1CCC1,123058,7624838
CC1(CO)NC=CC1=O,104078,2303539
C#CC1(C)CN(C)C1=O,85797,8292717
CC1=C(C)CC(C)(C)C1,73858,40465
C#CC1C=C(C)C(O)C1,86752,101453
C#CC(CO)NCC#N,102907,7274846
CC1C(O)C(O)C1(C)O,76341,415858
CC1(C2OCC2=O)CC1,65228,469727
CC#Cc1ccc(N)o1,25655,3411051
COC(C)CCNC=O,101902,9622930
C1CCC2(C1)COCO2,42102,2251496
CC(CCC#N)NC=O,61962,3581582
CCCCC1CC(=O)C1,122393,8517585
C#CC(=O)C(CO)OC,102447,9706056
N#CCC1OC2C(O)C12,80730,4466666
CC1=CC(CO)OCC1,116134,642548
CC#Cc1cnccn1,25673,2448814
C1CC2C(C1)C2C1CC1,40641,1675237
C#CCN1CC(C)C1=O,86764,6577892
C#CC1C2COCC12O,73611,6234105
CCCC1OC2CCC12,120980,8898337
OCC1CCCC(O)C1,116178,7412445
CC1(O)C(=O)C=CC1O,84290,136483
C#CC1CC2CCC2O1,35544,275617
CC(=O)C(C)CC(N)=O,61414,3918516
C#CCC1(C)COC1=O,64737,336229
N#CC12CC1OCCO2,34044,6542695
COC1CN(C)CCO1,116173,6919680
C#CC(C)(CCO)OC,117794,9295999
CC1CC=CC(CO)C1,112921,4573825
CC1C(C)C1C(=O)CO,98581,843730
C#CC1OCC1COC,121194,4489004
CC(=O)C1(C)CC2CC21,54184,1501029
CC1(C)CC(O)C1CO,109921,2535812
CC(=O)NC1(C)CC1C,87183,5365413
CCC1CC=CCCC1,116362,2749901
CCOC1CC=CC1=O,121012,8365311
CC1CCC(=O)CCO1,95679,5269699
CC1=CC2CCCC1C2,74791,901176
CCN1C(=O)CCC1C,110029,8230615
O=C1CC=CCOC1=O,47256,4759004
CC#CC(C)CCC#N,52718,2724622
O=C1CC=CC(CO)N1,112473,7663380
C1=CC2CCC(C2)OC1,41801,3798584
C#Cc1cc(C)c(C)o1,26761,352587
CC1CC(C)(C(N)=O)O1,85958,5399110
O=C1COC2CCC1O2,46996,6246977
C#CC1=CCCC1C#N,35828,1784460
CC1OC(C)(C)C2CC12,85909,4555123
CCOC1CNC1C#N,121188,8574049
CN1CC(C#N)C12CC2,85698,8570464
CC#CC(=O)C(O)CC,100501,4261931
Cc1cc(O)n(C)c1C,29708,8312310
CC12CCC1C2CC#N,73039,662742
CCC(=O)NC1COC1,99166,5678944
C1=CCC2CCC(C1)C2,41791,3633351
CC(C)(C#N)NCCO,121793,1941355
OC1CC1C1OCC1O,88842,5941124
CC1(C#N)CCCC1O,95899,203069
CCc1[nH]cc(C)c1C,30717,3274379
C#CC1CC(C)CC1O,86226,4740323
CC1(O)CC2C=CCC21,63829,964701
CCC1CC(C#N)C1C,112512,3608052
CC#CC(C#N)C1CC1,52589,2382956
C#CC(CO)CNC=O,102953,7313489
OC1C2COCC1OC2,83592,5824473
COc1cncc(O)c1,32146,9737075
C1=C2CCC2C2(C1)CC2,40105,594326
COC(C)C1COC1=O,101419,9762384
C#CC1(NC=O)CCC1,51033,5851099
CCc1nccc(=N)o1,32014,759762
O=C1CC2(O)CC(O)C12,89295,7299456
CN1CCC1C(=O)CO,98841,9898799
CC1=CC(O)C2C(C)C12,78232,252859
C#CC1C=CCOC1C,95530,7024851
O=C1OC2CCCC1O2,44970,4458482
OCC12CCCC1CO2,108521,7476440
OCCNc1cc[nH]c1,33252,7392291
C#CC1CC=CC(O)C1,86971,5218976
CC#CC1CNC(=O)C1,53360,3591306
CC#CC1(O)CC(O)C1,52788,1184557
CC1CCCC12CCC2,95950,5675850
C#CC(C)(CC)C(C)O,99860,7106393
CC1CC12CC=CCO2,88104,6933639
N#CCC1=CCCC1O,95463,7300815
CC1=C2COC2COC1,74035,353530
OC1C(O)C12CCCO2,76580,7100670
COC(C)c1c[nH]cn1,30695,9081861
COCC(C)C1CC1C,118131,5212455
CN=c1occnc1C,30511,9024449
CC1C2CC(=O)C1CO2,83479,1652367
CC(CO)C(=O)CCO,117151,2527078
N#CCC1OCC2CC21,36495,4545659
CCc1cccc(=O)o1,32007,3929621
CC(C)OC1C(O)C1O,60127,2801697
C#CC1C(C)C1(C)CC,103095,2622342
N#CC1C2COCOC12,35064,4440096
OCC1CC=CC(O)C1,114999,7441165
CC(=O)C(C)CC1CC1,61552,2453601
C#CC1C=CN(C)C1=O,84339,8026259
COC1CC(C)(CO)C1,112626,8544807
OCC1CC=CCOC1,116378,7556264
N#CCNCC1CC1O,89100,5735070
N#CCC1(CO)CCO1,104537,7227089
C#CC1C(C)CC1OC,112779,7872391
CC1=CCC(CC#N)C1,75172,473505
CC1COC(C)C1C#N,93875,6135565
O=C1C(O)COC12CC2,94798,7214163
CC(C)OC1CC1C#N,60187,4253280
C1=CC2(CCOC2)OC1,42088,2651512
CCC1C(O)CC1C#N,109977,2748739
C#Cc1nc(C#N)c[nH]1,23977,401571
CC1=CC2CC(C)C1O2,91622,5489577
COCCC(C#N)CO,122098,6092369
COC1CCC(C#N)C1,115425,8189062
CN(C=O)CC1CCC1,61681,8805117
N#CC1=CCC(O)C1N,92682,4427352
C#CCc1cc(O)c[nH]1,29387,7066854
CC(=O)C#CCCCO,121517,2325809
CC12C(CO)CC1C2O,114307,1596333
COC(=O)NC1(C)CC1,99119,9331311
CC1C(O)C2CCC12C,76759,1300176
CC1(C#N)CNCC1=O,66262,39326
CC#CC12CC(C)C1C2,52964,1989962
CCC(C)C1=CCCC1,101142,5052365
CC1(C)OCOC1CO,116184,985987
C#CCOC(=O)NCC,117417,8500183
CCC(C)N(C)C(C)=O,100723,6568029
CC1OC2COC1C2=O,92433,4632249
CCC(C)CC(O)CO,101675,4578474
CNC(=O)CCC1CC1,99295,9553726
OCC1=CC(CO)CC1,115492,7567425
CCn1cncc1C#N,32652,8783620
Cc1ccoc1NC=O,27104,479089
CCC12COCC1C2C,108580,2011993
COC(C)C1C2COC21,101199,9055009
CC1CC12COC(=O)O2,87922,5164560
N#CCC(=O)OC1CC1,42376,5809187
CCC1C=CC=CCC1,116045,3356862
CCC1(O)CC1C(C)=O,103814,3612420
N#CC1C(=O)C2CCN12,43209,5349128
CCC1CC=CCC1=O,115078,3630065
CC1C(=O)CC=C1C#N,75847,140673
C#CC1(C)CCCC1=O,66254,2208824
COC12COCC1C2C,108593,9154032
CC(C)C1CC(C#N)O1,59375,109488
OC1CCC2C=CC1O2,95152,7317352
CCC1C(=O)C2CCN12,111818,3501239
C1=C2CC3CCC23CC1,41459,402191
CC1CC1C1(C)CCC1,88458,4928997
CC1C=CC2COCC12,84711,9473090
CCOCC(C)(O)CO,121846,8203096
CC1C(=O)CCC1(C)O,75895,1958483
CC1=CCNC(=O)N1C,75949,7931447
CC(C)CC#CCC#N,59839,2952649
CC1C(=O)CC1CC#N,77045,81318
CC1C(C)C1C(C)(C)O,76615,2308001
CC1C=CC2COC2C1,92548,5040747
C#CC(CC)(CO)OC,102386,8911328
C#CC1(C)C=CC(C)O1,86021,6238688
C#CC12CCC1C(=O)C2,43896,5630508
C#CC(=O)N1CCC1=O,42296,4842574
CC1(CC(N)=O)COC1,55691,3071983
CCC(=O)C1CC1(C)C,98682,6783382
CCOC1(CC#N)CC1,119021,7905342
C#CC(C)C1CC1CC,113718,1759604
CC1CC(C#N)CC1C,86880,6588913
CCc1cncnc1C,32213,3008774
CCC1(CC)NCC1=O,104816,2622692
CC1CC2OCC1C2C,92449,5613098
CCCC(C#N)C1CC1,117558,2169363
CC12CC=CC1OCC2,73628,492963
C#CC1=CC(C)C(C)C1,85629,7198280
O=C1NCC12CC=CC2,46289,6322440
CC(C)C(C)C1CC1C,58240,2451268
CC12CCC(=O)CC1C2,70184,307635
CC1C=CCCC2CC12,84912,7642866
CN1CC(C(O)C#N)C1,56896,7976734
CC1CCC2CC1CO2,95300,5565808
Cc1cocc(C)c1=O,29556,207346
CC(=O)C1CCC1CO,115669,2042180
C#CCC(C)(C)CCO,117685,3016289
Cc1c[nH]c(=O)cc1N,29190,1093365
N#CCNC1CC2CC21,36697,4692410
CCC(C)c1cn[nH]n1,126151,5052380
CCC1CN(C=O)C1=O,112987,3284812
COC1CC1(O)CC#N,113254,8076790
C#CC(=O)N(C=O)CC,102006,7923300
CN1C(C#N)C2OCC21,83673,8021282
C#CCC(CC)C(C)O,102166,4536766
CN=c1nccc(C)o1,30440,9051430
C#CC(O)C1(O)CC1C,56649,4977232
CCC(=O)C(C)NC=O,98352,4668435
CC1CCC(C2CC2)O1,93949,5641091
C#CC1CCN1C(N)=O,55334,6373374
CC#CC(CC)OCC,118413,8261580
CC(CO)C1CCCC1,101468,3394856
CC(=O)N1CCC1C#N,55325,2957695
CCOCC(=O)N(C)C,121633,7960389
c1nncn1CC1CC1,123421,727084
C#CCCC(C)NC=O,61959,600296
CC1CC(C)C(C)(C)C1,86180,4523309
C#CC1=CC(C#N)NC1,35647,171540
CCC1=CCC2(C)CC12,109213,1780161
CC12CCC1=CCOC2,72791,3203164
CCC1(C)CC(C#N)C1,103667,2593289
CCC1(C)C=CC(C)C1,103650,1579892
N#CC1OC2C=CC1O2,35468,4671407
CCC1(C)OCOC1=O,104366,3905863
CC1CC(O)C2(CC2)C1,86399,5351567
CC1CC2CC2(C#N)C1,91830,6488425
CCCC#CC(C)=NO,22160,4175081
CC1C=C2CCC2(C)O1,89501,6007183
CCC1(O)C(C)C2CC21,103427,2688396
N#CC1=CC2C=CC1O2,34530,5151384
CNc1coc(OC)c1,31734,9816446
Cc1ccn(C(N)=O)c1,25913,207163
C#CC1CC(C#N)N1C,77200,7850938
O=CN1CCCC12CC2,50672,5253059
O=C1C=CCC(O)C=C1,92880,7230474
CC1=CCC=CNC1=O,75401,1401523
C#CC(=O)C1(C)CC1O,87094,202921
CC1C2CCCC1CC2,83578,2272425
CCC1=CCC2COC12,109261,2871173
CCC1(C#N)COC1=O,105557,3676893
CC1=C(C)C2(CC2)OC1,73816,337710
COCC1(C)COC1C,118970,4425055
c1cc2c[nH]ccc-2n1,24467,4559625
CC1CCOC(=O)CO1,95696,4707549
CCC(CO)(CO)OC,102411,8891591
O=C1C=CC2(CCO2)C1,43918,6992290
CCCc1cc(C)co1,32835,4169200
CCC1CC1(O)C(C)=O,113166,4350925
Cc1[nH]cc(C#N)c1C,26626,456262
CC(C#N)C12CC1CO2,56763,3979812
COC(=O)N1C=CCC1,98876,9666430
CC1=CCOC(C)C=C1,95407,5650354
C#CC(CCO)C(C)=O,117507,2347721
C#CC1OC(C)C1(C)C,85676,5444041
CC1C2CC2CC2CC21,82372,1329817
CCC1=CCC2(O)CC12,109216,2137389
COC(C)(C)C(O)CO,100689,9749244
C1=CC2C=CCC(C1)C2,39572,2680398
CC(O)C1C(=O)CN1C,59103,45449
CCOc1cnc(C)o1,32933,8335887
C#CC1C=CC(O)CO1,94028,7769965
CCOCC1C(O)C1O,122354,8785403
C1CC23CCC2CC3O1,41470,2324129
N#CC1C(=O)C=CC1O,84305,4914128
CCCC(C#N)CCO,118644,4246484
C#CC1CNC(=O)N1C,77328,8728863
CCCC1C(O)C1CO,119979,9967568
CC12CC1CC2NC=O,70470,2566146
C#Cc1ncoc1OC,31211,9438430
CC1(C(N)=O)CC(=O)C1,54134,963975
CC(C)C1(C)CCCC1,58580,671919
CN(CC#N)C1COC1,61265,8574852
COCC1NC(=O)C1C,120411,5536970
C#CC(O)C(O)C(C)=O,56538,2122178
CCCC1=CCC2CC12,119840,2112250
CCc1[nH]c(=O)[nH]c1C,30937,4100016
O=C1CCC12NCC2O,94424,7285129
OCCC1(O)CCOC1,119014,7625818
CC(C)(C#N)C1(C)CC1,57254,2253933
CC#CC(C)(CO)OC,100258,9081779
C#CC1OCC(O)CO1,94077,7356982
CC1CC2(COC2)C1=O,89967,6508397
CC1C(=O)C(C)(C)C1O,76325,1064877
CC1OC(C)(C#N)C1O,85838,5161065
CN1CCC12COC2=O,94417,9833393
C1CC2(CCC3CC32)O1,39125,1279105
CC1CC2(C)C(C#N)C12,89134,5399827
CC1OCC12CC(O)C2,90035,5320640
O=CN1C2C=CC1C=C2,49456,6601227
CCc1c[nH]cc1NC,32521,3232636
C#CC1(O)COC(C)C1,93708,6037460
CNC(=O)COC(C)C,99274,9105445
CC1C(C#N)C2CC12C,76123,36318
C#CC(CO)OCCC,122082,8768605
CN(CC#N)CC1CC1,61306,8502241
C#CC1CCC(O)C1=O,93617,7368052
O=C1CC2COC(C2)O1,45372,6560130
COC1C=CC(=O)C1=O,111942,8187027
O=C1CCC(C2CC2)N1,46055,6897560
CCC1CC=CNC1=O,115079,1913168
COC1CC2CC(=O)C21,114499,7811764
CC1=CC(=O)C(=O)NC1,74050,116126
COCC(C)C(N)C#N,118015,5845518
CC(CC#N)C(=O)CO,98320,577860
COC1CCC=CCC1,116055,4459804
CCC(C)(O)CCOC,121834,5459833
N#CCC1C=CCC1=O,45768,6505847
CC1(CC#N)CCOC1,64774,713399
CCC1CN(C=O)C1C,113003,2844391
CC1OC2(C#N)COC12,89939,5029627
N#CCCc1ccc[nH]1,24065,5688668
C#CC1(C)C=CC(C)C1,86015,5879720
CCCc1coc(=O)[nH]1,33039,1973899
